origin,destination,demand_pax_week,yield_cents_per_km,yield_eur_per_km,yield_source,price_source,distance_km,price_eur,travel_time_min,direct_utility,alternative_utility,utility_gap_direct_minus_alt,direct_share_bound,direct_op_cost_per_pax_eur,direct_margin_per_pax_eur,market_potential_pax_week,market_potential_revenue_week,market_potential_margin_week
BCN,MAD,3596.4700000000003,15.393333333333333,0.15393333333333334,directo,yield_times_distance,482.93085577562044,74.33915639906051,86.21981418317154,-3.211179411644641,-4.558749344134599,1.3475699324899577,0.24280967842247836,71.38023832157992,2.9589180774805897,873.2577241560908,64917.24253272728,2583.898066305015
BCN,MAH,981.8344285714287,9.745,0.09745,via_mad,via_mad_avg_radial_price,241.04341388389224,69.57228582203227,68.07825604129192,-2.7530108372664843,-3.728212652457554,0.9752018151910695,0.18098254076867246,56.36108343287785,13.211202389154423,177.69488949701483,12362.639641200756,2347.5631486634934
BCN,MXP,852.9751428571428,8.64,0.0864,via_mad,via_mad_avg_radial_price,720.791273680808,87.92928990629579,104.0593455260606,-3.8397727086471276,-5.040774191087534,1.2010014824404065,0.21688621095603966,86.1493492372615,1.7799406690342892,184.99854677397235,16266.790851532038,329.2864371152356
BCN,ORY,1309.0155714285713,9.192222222222222,0.09192222222222222,via_mad,via_mad_avg_radial_price,826.0925984420925,85.18535993445849,111.95694488315694,-3.9428460963523086,-4.950997345659477,1.0081512493071685,0.18591799716336554,92.68766678779878,-7.502306853340286,243.36955329565845,20731.52299457904,-1825.8330675843824
BCN,PMI,1972.4500000000003,10.715555555555556,0.10715555555555556,via_mad,via_mad_avg_radial_price,201.9658171237118,66.60889770423279,65.14743628427838,-2.6351266797702237,-3.474772393547032,0.8396457137768083,0.16175047671802062,53.934696705938535,12.674200998294253,319.0447278024598,21251.21763726884,4043.6370076144544
BCN,SVQ,1244.7814285714285,15.255555555555556,0.15255555555555556,via_mad,via_mad_avg_radial_price,809.2803605461037,70.1823750378,110.69602704095777,-3.6175680415751557,-4.992430211166916,1.37486216959176,0.24786259616991446,91.64376966353804,-21.461394625738038,308.5347565498092,21653.701996375028,-6621.586166071468
BCN,TFN,398.14814285714283,6.0311111111111115,0.060311111111111114,via_mad,via_mad_avg_radial_price,2194.5056698875587,90.51781025998221,214.58792524156692,-6.102114710030983,-8.660545633963896,2.558430923932913,0.5183727926160548,177.6544914853931,-87.13668122541088,206.38916468775307,18681.895248922254,-17984.066851775566
BIO,AGP,219.67614285714285,13.272222222222222,0.1327222222222222,via_mad,via_mad_avg_radial_price,749.0717635747908,68.45975689240841,106.1803822681093,-3.4928027832103545,-5.16535269874346,1.6725499155331054,0.3073885174177094,87.90532736793364,-19.44557047552523,67.52592386489808,4622.808331726202,-1313.0801114398266
BIO,BCN,794.2462857142857,15.255555555555556,0.15255555555555556,via_mad,via_mad_avg_radial_price,466.8079283345254,76.59245546810087,85.0105946250894,-3.2320610018638054,-4.641946065078304,1.409885063214499,0.25444929077422024,70.37914151968187,6.213313948419,202.0954041000587,15478.983238841594,1255.682193206269
BIO,LHR,180.94314285714285,10.995555555555555,0.10995555555555554,via_mad,via_mad_avg_radial_price,927.5491652156835,109.3461255864569,119.56618739117626,-4.578246259552664,-6.924572929947367,2.3463266703947028,0.46541034360564626,98.9872575351786,10.358868051278307,84.21281029022839,9208.344529983784,872.3493900238079
BIO,MAD,849.1658571428571,24.84222222222222,0.24842222222222218,directo,yield_times_distance,319.17495448909585,79.29015147185783,73.93812158668219,-3.0645654611708,-4.579274060747592,1.5147085995767915,0.27484102836216756,61.212388241697674,18.07776323016015,233.38561742718431,18505.180957154505,4219.089933173377
