origin,destination,demand_pax_week,yield_cents_per_km,yield_eur_per_km,yield_source,distance_km,price_eur,travel_time_min,direct_utility,alternative_utility,utility_gap_direct_minus_alt,direct_share_bound
DKR,ORY,211.51142857142855,7.802777777777778,0.07802777777777778,via_mad,4192.113070364965,327.1012670737552,364.40848027737235,-13.830194947022552,-21.000754989370733,7.170560042348182,0.9908576497766903
DME,BCN,182.64142857142858,6.78,0.0678,directo,3028.696810681883,205.34564376423168,277.1522608011412,-9.649958091307457,-17.539195589652874,7.889237498345416,0.9955230704220841
DME,MAD,155.01185714285717,5.956666666666667,0.05956666666666667,directo,3437.4047633702835,204.7547437380899,307.8053572527713,-10.251202019817224,-16.44426080888236,6.193058789065134,0.9760641771623333
DUB,BCN,219.5662857142857,10.546666666666667,0.10546666666666667,via_mad,1485.2138210868252,156.6405509972905,161.39103658151188,-6.360631751576047,-9.533992783654684,3.1733610320786365,0.6656230082423963
DUB,MAD,380.89414285714287,5.837777777777777,0.05837777777777777,directo,1454.2251189626224,84.89443083366241,159.06688392219667,-4.879226295117181,-8.00285319035213,3.123626895234949,0.6544641130761469
DUS,AGP,263.9334285714285,9.908333333333333,0.09908333333333333,via_mad,1853.4609014227603,183.64708431597182,189.00956760670704,-7.453133038453577,-9.527766514082575,2.074633475628998,0.3988466209220135
DUS,ALC,189.73642857142858,12.623888888888889,0.1262388888888889,via_mad,1555.6931181355858,196.38897068552734,166.67698386016895,-7.261319090913926,-9.455897424478763,2.194578333564838,0.4279234917217652
DUS,BCN,355.5587142857143,10.9,0.109,via_mad,1167.4140134161646,127.24812746236194,137.55605100621233,-5.296083569371485,-6.680357923146463,1.3842743537749778,0.2496214399250858
DUS,FUE,150.8304285714286,6.301666666666667,0.06301666666666667,via_mad,3066.920753045539,193.26712278775307,280.01905647841545,-9.46572358532337,-15.005818150684595,5.540094565361224,0.9550059759343456
DUS,IBZ,183.17557142857143,9.766507936507937,0.09766507936507937,via_mad,1443.1483183716753,140.9451950493505,158.23612387787566,-5.983626378544523,-9.13705020796854,3.1534238294240176,0.6611710514441418
DUS,LPA,265.3628571428572,6.375,0.06375,via_mad,3189.796127170729,203.34950310713398,289.23470953780463,-9.851684252898773,-15.47994550303864,5.628261250139868,0.9586460745346903
DUS,MAD,291.18157142857143,6.544444444444444,0.06544444444444444,directo,1441.3012537992213,94.32515983197126,158.0975940349416,-5.048455077338257,-8.24707428364951,3.1986192063112533,0.6712209795078208
DUS,PMI,1221.842142857143,8.754999999999999,0.08754999999999999,via_mad,1341.975498182574,117.48995486588434,150.64816236369305,-5.362762344591548,-8.34119397345679,2.9784316288652413,0.620936475055665
EAS,MAD,214.39771428571427,20.406666666666666,0.20406666666666667,directo,352.65408104153556,71.96494280454269,76.44905607811516,-2.968279977653157,-4.469981354744149,1.5017013770909924,0.27225625067109405
EDI,MAD,167.9527142857143,9.793912783751495,0.09793912783751495,media_global,1721.1421621023853,168.5671622406824,179.0856621576789,-6.953056487967226,-10.519335798363603,3.566279310396377,0.7467536587116548
EZE,BCN,202.37385714285713,10.132777777777779,0.1013277777777778,via_mad,10480.859041322654,1062.002155859355,836.064428099199,-37.96133167917108,-38.365299057827926,0.4039673786568443,0.11096327335047444
EZE,FCO,153.62242857142857,6.078888888888889,0.060788888888888885,via_mad,11154.770661545235,678.0861143257109,886.6077996158925,-31.293878278832068,-48.60824732354036,17.314369044708293,0.9999996372176457
EZE,MAD,550.6405714285714,5.010000000000001,0.050100000000000006,directo,10085.30153873687,505.2736070907173,806.3976154052652,-26.23342444991965,-28.216187125941875,1.982762676022226,0.37703695944595805
FCO,AGP,153.8262857142857,10.305555555555555,0.10305555555555555,via_mad,1546.8499981834398,159.41148592390448,166.013749863758,-6.508504715753249,-8.959794054233008,2.451289338479759,0.4915964635776166
FCO,BCN,730.129,11.297222222222222,0.11297222222222222,via_mad,846.8754582421872,95.67340246308265,113.51565936816402,-4.183781236624934,-5.533052789242127,1.3492715526171937,0.24312266352273268
FCO,BOS,149.32142857142858,6.881666666666666,0.06881666666666666,via_mad,6568.916294108935,452.05092297292987,542.6687220581701,-19.894392900622,-30.22913977325727,10.334746872635268,0.9996103376492479
FCO,EZE,153.68142857142857,6.0649999999999995,0.060649999999999996,via_mad,11154.770661545235,676.5368406227185,886.6077996158925,-31.26289280477222,-48.60824732354036,17.34535451876814,0.9999996482862563
FCO,IAD,154.395,6.28015873015873,0.0628015873015873,via_mad,7231.153112284072,454.12789347225294,592.3364834213055,-20.92928753787117,-32.15307395700688,11.223786419135713,0.9998397923849471
FCO,JFK,490.9881428571428,6.453333333333333,0.06453333333333333,via_mad,6865.555203326465,443.05716245466783,564.9166402494849,-20.159476054083058,-21.793747169658648,1.63427111557559,0.29929955671719743
FCO,LIS,249.33985714285714,10.409444444444443,0.10409444444444443,via_mad,1838.7443636822566,191.403073012858,187.90582727616925,-7.586178005780544,-9.162848904910451,1.5766708991299065,0.2873609928558087
FCO,MAD,1131.3857142857144,7.338888888888889,0.07338888888888889,directo,1329.6286311014007,97.57996787138613,149.72214733260506,-4.946042304079824,-6.4580933151098305,1.5120510110300067,0.2743116788929977
FCO,ORD,208.90785714285715,6.391111111111111,0.06391111111111111,via_mad,7742.066957348019,494.8041015407312,630.6550218011014,-22.509182466836652,-26.162872920545148,3.6536904537084958,0.7629251122185947
