file,budget,lam,alfa,mu_alfa,mu_beta,is_longrun,obj_val,pax_obj,op_obj,used_budget,comp_time,combo,series,objective_gain,rank_in_budget_lam,gap_vs_best_pct,best_regular_obj_val,best_regular_series,best_regular_combo,delta_vs_best_regular,improvement_vs_best_regular_pct,baseline_mu0_obj_val,baseline_mu0_series,delta_vs_mu0,improvement_vs_mu0_pct
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,100000.0,10.0,0.1,1e-07,0.005,True,-39386.66960681701,387398.2144235608,348011.5448167438,100473.29443826752,10158.910741711035,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=10",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=10,39386.66960681701,1,0.0,-39263.06208210962,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",123.60752470738953,0.3148188606606712,-9995.190979300198,single level,29391.478627516815,294.056198509722
bud=1.50e+05_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,150000.0,10.0,0.1,0.0,0.0,False,-22309.195818870387,267512.5184430678,245203.3226241974,135660.38909012472,5691.156781438738,single level,single level,22309.195818870387,4,53.026334109371824,-34893.839815205196,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",-12584.64399633481,-36.065517761822754,-22309.195818870387,single level,0.0,0.0
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,150000.0,10.0,0.1,1e-08,0.001,False,-22325.93242133601,267644.1118778783,245318.1794565423,135665.0828269101,9722.68541932106,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=3",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,22325.93242133601,3,52.99109395196107,-34893.839815205196,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",-12567.907393869187,-36.01755341466504,-22309.195818870387,single level,16.736602465622127,0.07502109265393313
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,150000.0,10.0,0.1,1e-07,0.005,False,-34893.839815205196,575214.7000437677,540320.8602285625,132673.88343455706,5590.29494009912,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,34893.839815205196,2,26.5284330986906,-34893.839815205196,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",0.0,0.0,-22309.195818870387,single level,12584.64399633481,56.410119389825795
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python_longrun.mat,150000.0,10.0,0.1,1e-08,0.001,True,-22325.93242133601,267644.1118778783,245318.1794565423,135665.0828269101,11062.067978193983,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=10",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=10,22325.93242133601,3,52.99109395196107,-34893.839815205196,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",-12567.907393869187,-36.01755341466504,-22309.195818870387,single level,16.736602465622127,0.07502109265393313
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,150000.0,10.0,0.1,1e-07,0.005,True,-47492.98441133875,562356.5212675895,514863.5368562508,132653.28438134422,10751.745427384973,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=10",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=10,47492.98441133875,1,0.0,-34893.839815205196,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",12599.144596133556,36.10707409347195,-22309.195818870387,single level,25183.788592468365,112.88523708759813
bud=2.00e+05_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,200000.0,10.0,0.1,0.0,0.0,False,64332.60842971504,640888.2980305935,705220.9064603086,200432.0599890408,5681.408981993794,single level,single level,-64332.60842971504,4,202.0255072144935,-61854.350859797385,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",-126186.95928951242,-204.00660185656952,64332.60842971504,single level,0.0,0.0
bud=2.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,200000.0,10.0,0.1,1e-08,0.001,False,-17670.557619268424,571605.8428792775,553935.2852600091,196296.56162547864,11249.924578960985,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=3",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,17670.557619268424,3,71.97614634515483,-61854.350859797385,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",-44183.79324052896,-71.43198922364974,64332.60842971504,single level,82003.16604898346,127.4674975111167
bud=2.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,200000.0,10.0,0.1,1e-07,0.005,False,-61854.350859797385,585105.1061903203,523250.75533052295,199719.79412168535,5617.927947750315,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,61854.350859797385,2,1.9047777801721097,-61854.350859797385,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",0.0,0.0,64332.60842971504,single level,126186.95928951242,196.1477427537775
bud=2.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python_longrun.mat,200000.0,10.0,0.1,1e-08,0.001,True,-17670.557619268424,571605.8428792775,553935.2852600091,196296.56162547864,12833.49596390687,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=10",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=10,17670.557619268424,3,71.97614634515483,-61854.350859797385,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",-44183.79324052896,-71.43198922364974,64332.60842971504,single level,82003.16604898346,127.4674975111167
