simulation,parameter,origin,destination,value,delta_vs_1
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,JFK,MAD,0.998150217,-0.001849783
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,LHR,BIO,1.001034473,0.001034473
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,VLC,MAD,1.000770952,0.000770952
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BIO,LHR,1.000669960,0.000669960
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAD,LHR,0.999368640,-0.000631360
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BIO,BCN,1.000628707,0.000628707
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BCN,BIO,1.000627227,0.000627227
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,PMI,IBZ,1.000552876,0.000552876
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,IBZ,PMI,1.000539821,0.000539821
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAD,BIO,1.000539236,0.000539236
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,VLC,PMI,1.000495836,0.000495836
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,PMI,MAH,1.000484540,0.000484540
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BIO,MAD,1.000478710,0.000478710
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAH,PMI,1.000471525,0.000471525
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BCN,IBZ,1.000467783,0.000467783
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,IBZ,BCN,1.000466453,0.000466453
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,IBZ,VLC,1.000438891,0.000438891
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAD,BCN,1.000436125,0.000436125
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BCN,MAH,1.000423539,0.000423539
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,VLC,IBZ,1.000419570,0.000419570
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,PMI,VLC,1.000373375,0.000373375
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BCN,MAD,1.000371712,0.000371712
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAH,BCN,1.000360967,0.000360967
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BCN,PMI,1.000358819,0.000358819
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,PMI,BCN,1.000356825,0.000356825
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAD,VLC,1.000292043,0.000292043
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BCN,MXP,1.000256317,0.000256317
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MXP,BCN,1.000215751,0.000215751
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,LHR,MAD,0.999921186,-0.000078814
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,GRU,MAD,1.002348272,0.002348272
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,MAD,BCN,1.000962170,0.000962170
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,PMI,1.000866745,0.000866745
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,PMI,BCN,1.000860877,0.000860877
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,MAD,1.000824648,0.000824648
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,MAH,1.000545583,0.000545583
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,IBZ,1.000518665,0.000518665
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,IBZ,BCN,1.000517674,0.000517674
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,MAH,BCN,1.000497497,0.000497497
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BIO,BCN,1.000473654,0.000473654
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,BIO,1.000469244,0.000469244
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,MXP,1.000167655,0.000167655
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,MXP,BCN,1.000139584,0.000139584
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,IBZ,VLC,1.000018169,0.000018169
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,VLC,IBZ,1.000017934,0.000017934
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAD,GRU,0.995521661,-0.004478339
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,SVQ,MAD,0.996902816,-0.003097184
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,GRU,MAD,1.002528127,0.002528127
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BCN,MAH,1.000798986,0.000798986
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BIO,LHR,0.999211328,-0.000788672
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BIO,BCN,1.000778867,0.000778867
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BCN,BIO,1.000771689,0.000771689
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,LHR,BIO,0.999233070,-0.000766930
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAH,BCN,1.000732827,0.000732827
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BCN,IBZ,1.000710722,0.000710722
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,IBZ,BCN,1.000709437,0.000709437
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BCN,PMI,1.000660042,0.000660042
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,PMI,BCN,1.000655703,0.000655703
